mobile_name,mobile_price,mobile_color,dual_sim,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
"Realme 3 (Radiant Blue, 64 GB)","₹9,499",Radiant Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9,Octa Core,2.1 GHz,64 GB,3 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
"Realme 3 (Dynamic Black, 64 GB)","₹9,499",Dynamic Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9,Octa Core,2.1 GHz,64 GB,3 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
"Realme 3 (Diamond Red, 32 GB)","₹8,499",Diamond Red,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9,Octa Core,2.1 GHz,32 GB,3 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
"Realme 3 (Radiant Blue, 64 GB)","₹10,499",Radiant Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9.0,Octa Core,2.1 GHz,64 GB,4 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
"Realme 3 (Black, 64 GB)","₹10,499",Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Pie 9.0,Octa Core,2.1 GHz,64 GB,4 GB,13MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4230 mAh,75.6 mm,156.1 mm,8.3 mm,175 g
"Redmi 8 (Sapphire Blue, 64 GB)","₹9,799",Sapphire Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Pie 9,Octa Core,1.95 GHz,64 GB,4 GB,12MP + 2MP,8MP Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,188 g
"Redmi 8 (Onyx Black, 64 GB)","₹9,799",Onyx Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Pie 9,Octa Core,1.95 GHz,64 GB,4 GB,12MP + 2MP,8MP Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,188 g
"Redmi K20 Pro (Flame Red, 128 GB)","₹24,999",Flame Red,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.84 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹16,999",Aurora Blue,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 pixel,Android Pie 10,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi K20 Pro (Carbon Black, 128 GB)","₹24,999",Carbon Black,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.84 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Mi A3 (More Than White, 128 GB)","₹16,939",More Than White,Dual Sim,15.44 cm (6.08 inch),1560 x 720 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4030 mAh,71.85 mm,153.48 mm,8.475 mm,173.8 g
"Redmi K20 Pro (Glacier Blue, 128 GB)","₹24,999",Glacier Blue,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.84 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 7 Pro (Space Black, 128 GB)","₹16,999",Space Black,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,6 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Mi A3 (Not just Blue, 128 GB)","₹14,999",Not just Blue,Dual Sim,15.44 cm (6.08 inch),1560 x 720 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4030 mAh,71.85 mm,153.48 mm,8.475 mm,173.8 g
"Mi Mix 2 (Black, 128 GB)","₹16,999",Black,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.1,Octa Core,2.5 GHz,128 GB,6 GB,12MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE, 2G",Yes,3400 mAh,75.49 mm,151.86 mm,7.7 mm,185 g
"Redmi K20 Pro (Pearl White, 128 GB)","₹24,999",Pearl White,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.84 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Mi A3 (Kind of Grey, 128 GB)","₹17,350",Kind of Grey,Dual Sim,15.44 cm (6.08 inch),1560 x 720 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4030 mAh,71.85 mm,153.48 mm,8.475 mm,173.8 g
"Redmi K20 Pro (Carbon Black, 256 GB)","₹29,999",Carbon Black,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.84 GHz,256 GB,8 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 7 Pro (Nebula Red, 128 GB)","₹13,999",Nebula Red,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,6 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi K20 (Carbon Black, 64 GB)","₹21,999",Carbon Black,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,64 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Y2 (Gold, 64 GB)","₹13,495",Gold,Dual Sim,15.21 cm (5.99 inch),1440 x 720 pixels,Android Oreo 8.0,Octa Core,2 GHz,64 GB,4 GB,12MP + 5MP,16MP Front Camera,"3G, 4G, 2G",Yes,3080 mAh,77.26 mm,160.73 mm,8.1 mm,168 g
"Redmi K20 Pro (Pearl White, 256 GB)","₹29,999",Pearl White,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2.84 GHz,256 GB,8 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi K20 (Glacier Blue, 128 GB)","₹24,999",Glacier Blue,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹15,990",Rose Gold,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Android Oreo 8.1,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP + 2MP Dual Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,76.4 mm,157.9 mm,8.26 mm,181 g
"Mi A2 (Red, 64 GB)","₹13,999",Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Android Oreo 8.1,Octa Core,2.2 GHz,64 GB,4 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Mi 10 (Twilight Grey, 256 GB)","₹55,799",Twilight Grey,Dual Sim,16.94 cm (6.67 inch),2340 x 1080 Pixel,Android Pie 10,Octa Core,2.84 GHz,256 GB,8 GB,108MP Rear Camera,20MP Front Camera,"4G VOLTE, 5G",Yes,4780 mAh,74.8 mm,162.58 mm,8.96 mm,209 g
"Mi 10 (Coral Green, 128 GB)","₹51,800",Coral Green,Dual Sim,16.94 cm (6.67 inch),2340 x 1080 Pixel,Android Pie 10,Octa Core,2.84 GHz,128 GB,8 GB,108MP Rear Camera,20MP Front Camera,"4G VOLTE, 5G",Yes,4780 mAh,74.8 mm,162.58 mm,8.96 mm,209 g
"Redmi K20 (Flame Red, 128 GB)","₹24,999",Flame Red,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Mi A2 (Red, 128 GB)","₹16,899",Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Oreo 8.1,Octa Core,2.2 GHz,128 GB,6 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Mi A2 (Gold, 128 GB)","₹16,899",Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Oreo 8.1,Octa Core,2.2 GHz,128 GB,6 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi K20 (Carbon Black, 128 GB)","₹24,999",Carbon Black,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Mi A2 (Lake Blue, 128 GB)","₹16,899",Lake Blue,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Oreo 8.1,Octa Core,2.2 GHz,128 GB,6 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi Note 5 Pro (Red, 64 GB)","₹16,999",Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi K20 (Pearl White, 128 GB)","₹24,999",Pearl White,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2.2 GHz,128 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"MI3 (Metallic Grey, 16 GB)","₹13,999",Metallic Grey,Single Sim,12.7 cm (5 inch),1920 x 1080 Pixels,Android KitKat 4.4.2,Quad Core,2.3 GHz,16 GB,2 GB,13MP Rear Camera,2MP Front Camera,3G,Yes,3050 mAh,73.6 mm,144 mm,8.1 mm,145 g
"Redmi 8 (Emerald Green, 64 GB)","₹9,799",Emerald Green,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Pie 9,Octa Core,1.95 GHz,64 GB,4 GB,12MP + 2MP,8MP Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,188 g
"Redmi 8 (Ruby Red, 64 GB)","₹9,799",Ruby Red,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Pie 9,Octa Core,1.95 GHz,64 GB,4 GB,12MP + 2MP,8MP Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,188 g
"Redmi 8 (Onyx Black, 64 GB)","₹9,799",Onyx Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Pie 9,Octa Core,1.95 GHz,64 GB,4 GB,12MP + 2MP,8MP Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,188 g
"Mi A3 (Kind of Grey, 64 GB)","₹12,999",Kind of Grey,Dual Sim,15.46 cm (6.088 inch),1560 x 720 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4030 mAh,71.85 mm,153.48 mm,8.475 mm,173.8 g
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹14,999",Interstellar Black,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 pixel,Android Pie 10,Octa Core,2.3 GHz,128 GB,6 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,999",Aurora Blue,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 pixel,Android Pie 10,Octa Core,2.3 GHz,128 GB,6 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹16,998",Aurora Blue,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 pixel,Android Pie 10,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,399",Sea Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$Pixels,Android Pie 9,Octa Core,2 GHz,32 GB,2 GB,13MP + 2MP,8MP Dual Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,9 mm,175 mm,92 mm,186 g
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹7,499",Midnight Grey,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$pixel,Android Pie 9,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,8MP Dual Front Camera,"4G VOLTE, 3G",Yes,5000 mAh,9 mm,175 mm,92 mm,186 g
"Redmi Note 8 (Moonlight White, 64 GB)","₹11,199",Moonlight White,Dual Sim,16.0 cm (6.3 inch),2280 x 1080$$Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP,13MP Front Camera,4G VOLTE,Yes,4000 mAh,8.35 mm,158.3 mm,75.3 mm,190 g
"Redmi Note 8 (Neptune Blue, 128 GB)","₹13,261",Neptune Blue,Dual Sim,16.0 cm (6.3 inch),2280 x 1080$$Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,48MP + 8MP,13MP Front Camera,4G VOLTE,Yes,4000 mAh,8.35 mm,158.3 mm,75.3 mm,190 g
"Redmi Note 8 (Neptune Blue, 32 GB)","₹10,978",Neptune Blue,Dual Sim,16.0 cm (6.3 inch),2280 x 1080$$Pixels,Android Pie 9,Octa Core,2 GHz,32 GB,3 GB,48MP + 8MP,13MP Front Camera,4G VOLTE,Yes,4000 mAh,8.35 mm,158.3 mm,75.3 mm,190 g
"Mi A3 (Not just Blue, 64 GB)","₹12,999",Not just Blue,Dual Sim,15.46 cm (6.088 inch),1560 x 720 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4030 mAh,71.85 mm,153.48 mm,8.475 mm,173.8 g
"Mi A3 (More Than White, 64 GB)","₹12,999",More Than White,Dual Sim,15.46 cm (6.088 inch),1560 x 720 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4030 mAh,71.85 mm,153.48 mm,8.475 mm,173.8 g
"Redmi Note 8 (Neptune Blue, 64 GB)","₹11,280",Neptune Blue,Dual Sim,16.0 cm (6.3 inch),2280 x 1080$$Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP,13MP Front Camera,4G VOLTE,Yes,4000 mAh,8.35 mm,158.3 mm,75.3 mm,190 g
"Redmi Note 8 (Space Black, 64 GB)","₹10,100",Space Black,Dual Sim,16.0 cm (6.3 inch),2280 x 1080$$Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,4 GB,48MP + 8MP,13MP Front Camera,4G VOLTE,Yes,4000 mAh,8.35 mm,158.3 mm,75.3 mm,190 g
"Redmi 8A Dual (Sky White, 32 GB)","₹7,450",Sky White,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$Pixels,Android Pie 9,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,8MP Dual Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,9 mm,175 mm,92 mm,186 g
"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999",Space Black,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2 GHz,64 GB,6 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi K20 Pro (Flame Red, 256 GB)","₹29,999",Flame Red,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.84 GHz,256 GB,8 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 9 Pro (Glacier White, 64 GB)","₹12,999",Glacier White,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 pixel,Android Pie 10,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹12,999",Interstellar Black,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 pixel,Android Pie 10,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,499",Sea Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$Pixels,Android Pie 9,Octa Core,2 GHz,32 GB,3 GB,13MP + 2MP,8MP Dual Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,9 mm,175 mm,92 mm,186 g
"Redmi Note 6 Pro (Black, 64 GB)","₹11,999",Black,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Android Oreo 8.1,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP + 2MP Dual Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,76.4 mm,157.9 mm,8.26 mm,181 g
"Redmi Note 6 Pro (Red, 64 GB)","₹11,999",Red,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Android Oreo 8.1,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP + 2MP Dual Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,76.4 mm,157.9 mm,8.26 mm,181 g
"Redmi Note 4 (Black, 64 GB)","₹12,999",Black,Dual Sim,13.97 cm (5.5 inch),1920 x 1080 pixels,Android Marshmallow 6.0.1,Octa Core,2 GHz,64 GB,4 GB,13MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE",Yes,4100 mAh,76 mm,151 mm,8.4 mm,165 g
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,999",Rose Gold,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Android Oreo 8.1,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP + 2MP Dual Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,76.4 mm,157.9 mm,8.26 mm,181 g
"Redmi K20 (Glacier Blue, 64 GB)","₹21,999",Glacier Blue,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,64 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 5 Pro (Gold, 64 GB)","₹12,999",Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999",Astro Moonlight White,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,48MP + 5MP,13MP Front Camera,2G,Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","₹16,999",Interstellar Black,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 Pixel,Android Pie 10,Octa Core,2.3 GHz,128 GB,6 GB,64MP + 8MP + 5MP + 2MP,32MP Front Camera,"3G, 4G VOLTE",Yes,5020 mAh,76.68 mm,165.5 mm,8.8 mm,209 g
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","₹16,999",Glacier White,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 Pixel,Android Pie 10,Octa Core,2.3 GHz,128 GB,6 GB,64MP + 8MP + 5MP + 2MP,32MP Front Camera,"3G, 4G VOLTE",Yes,5020 mAh,76.68 mm,165.5 mm,8.8 mm,209 g
"Redmi 8A (Sunset Red, 32 GB)","₹6,999",Sunset Red,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Pie 9.0,Octa Core,1.95 GHz,32 GB,2 GB,12MP Rear Camera,8MP Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,188 g
"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999",Space Black,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2 GHz,64 GB,4 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Mi 10 (Coral Green, 256 GB)","₹55,400",Coral Green,Dual Sim,16.94 cm (6.67 inch),2340 x 1080 Pixel,Android Pie 10,Octa Core,2.84 GHz,256 GB,8 GB,108MP Rear Camera,20MP Front Camera,"4G VOLTE, 5G",Yes,4780 mAh,74.8 mm,162.58 mm,8.96 mm,209 g
"Redmi Note 5 Pro (Black, 64 GB)","₹13,999",Black,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹16,999",Rose Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 5 Pro (Red, 64 GB)","₹12,999",Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Mi A2 (Red, 64 GB)","₹13,999",Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Android Oreo 8.1,Octa Core,2.2 GHz,64 GB,4 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi Note 5 Pro (Gold, 64 GB)","₹17,999",Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Mi A2 (Blue/Lake Blue, 64 GB)","₹13,999",Blue/Lake Blue,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Android Oreo 8.1,Octa Core,2.2 GHz,64 GB,4 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi Go (Blue, 16 GB)","₹6,700",Blue,Dual Sim,12.7 cm (5 inch),1280 x 720 pixels,Android Oreo 8.1,Quad Core,1.4 GHz,16 GB,1 GB,8MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3000 mAh,70.1 mm,140.4 mm,8.35 mm,137 g
"Redmi Note 5 Pro (Black, 64 GB)","₹12,999",Black,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 7S (Sapphire Blue, 32 GB)","₹9,999",Sapphire Blue,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,32 GB,3 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi Y2 (Rose Gold, 64 GB)","₹8,499",Rose Gold,Dual Sim,15.21 cm (5.99 inch),1440 x 720 pixels,Android Oreo 8.0,Octa Core,2 GHz,64 GB,4 GB,12MP + 5MP,16MP Front Camera,"3G, 4G, 2G",Yes,3080 mAh,77.26 mm,160.73 mm,8.1 mm,168 g
